id_client,id_carte,comentariu,rating,data_review,titlu
8,87,Carte profunda.,5,2023-04-23,Recomand
1,87,Subiectul central este unul tragic.,2,2023-04-21,Nu recomand!
2,92,O opera de arta!,5,2023-05-20,Exceptionala!
3,93,Una dintre cele mai bune carti pe care am citit-o!,5,2023-05-06,Minunata!
4,93,O carte minunata!,5,2023-03-28,Recomand
5,96,O carte foarte frumoasa!,5,2022-10-14,Recomand
6,96,Merita citita!,5,2023-03-12,Exceptionala!
7,101,Mircea Cartarescu este un scriitor din ce in ce mai cautat care surprinde cu scrierile sale!,5,2023-04-28,Recomand
8,79,"O poveste istorica care te poarta prin Africa secolului 18, excelent!",5,2023-05-28,Minunata!
1,72,O poveste care te poarta in lumea asiatica. O poveste minunata in care absolut totul pare real.,5,2022-11-24,Recomand
2,72,Merita citita!,5,2023-03-28,Recomand
3,72,"Cititi cartea, merita!",5,2023-06-28,Recomand
4,71,"Metafore, descrieri frumoase. Merita citita!",4,2023-03-15,Foarte buna!
5,71,"As da mai multe stele, dar nu pot!",5,2023-01-15,Exceptionala!
6,71,Sub asteptari!,1,2023-02-15,Nu merita!
7,71,Nu se ridica la nivelul asteptarilor. Cartile anterioare ale autorului au fost mult mai bune!,3,2023-05-15,Nu recomand!
8,69,Emotionanta si captivanta!,5,2023-04-15,Merita
2,69,O recomand cu drag!,5,2023-06-15,Exceptionala!
1,64,O carte foarte buna!,5,2023-03-18,Recomand
3,64,O carte care te poate duce spre succes in mai multe privinte!,5,2023-03-19,Recomand
4,59,Recomand aceasta carte!,4,2023-03-10,Exceptionala!
5,56,Carte foarte buna pesntru dezvoltare personala si educatie financiara,5,2023-04-12,Recomand
6,56,Ai ce invata din aceasta carte!,5,2023-06-15,Minunata!
7,56,Multe lucruri de invatat din ea!,5,2022-10-19,Recomand
8,56,De nota 10!,5,2023-06-11,Exceptionala!
1,54,Carte buna din punct de vedere al continutului.,4,2023-06-17,Recomand
2,54,O carte plina de indrumari!,5,2023-06-19,Recomand
3,53,Cartea merita tot timpul pentru a fi citita!,5,2023-03-15,Exceptionala!
5,47,Cea mai buna carte de dezvoltare personala pe care am citit-o!,5,2023-04-17,Exceptionala!
4,47,O lectura placuta.,4,2023-05-19,Recomand
6,43,Un alt unghi de abordare al vietii unei mari personalitati.,5,2023-01-15,Recomand
7,42,O bibliografie de exceptie a renumitului sculptor!,5,2023-02-16,Exceptionala!
8,42,Mi-a placut foarte mult cartea!,5,2022-09-30,Recomand
1,41,"Excelenta, este unul dintre autorii mei favoriti!",5,2023-04-14,Recomand
2,38,Scrisa bine si la obiect.,4,2023-02-20,Ok
3,38,Nu s-a ridicat la asteptarile mele.,2,2023-03-23,Nu merita!
4,29,Ofera informatii interesante!,4,2022-10-09,Recomand
5,29,"O carte destul de interesanta, plina de fictiune istorica si mitologie.",3,2023-04-07,Asa si asa
